Sample_ID,Label,Label_Name,Raw_Mean,Raw_Std,Processed_Mean,Processed_Std
0,4,Eyes closed,-16.910112359550563,95.71095771033781,5.98771968337163e-17,0.9999999998945646
1,1,Seizure activity (ictal),28.1123595505618,471.83582267045676,-2.993859841685815e-17,0.999999999978826
2,5,Eyes open,-44.04494382022472,44.18638005426802,0.0,0.999999999785061
3,5,Eyes open,-68.91011235955057,15.923722991811921,7.983626244495507e-17,0.9999999993653959
4,5,Eyes open,-6.651685393258427,38.69300117406349,7.983626244495507e-17,0.9999999997316368
5,5,Eyes open,14.48876404494382,48.94301189219107,-4.989766402809692e-18,0.999999999719971
6,4,Eyes closed,13.98876404494382,64.88329962619447,3.991813122247754e-17,0.9999999998781902
7,2,Tumor area,-32.54494382022472,37.104781821021504,2.993859841685815e-17,0.9999999997233053
8,1,Seizure activity (ictal),-31.685393258426966,151.79880945082553,3.991813122247754e-17,0.9999999999338278
9,4,Eyes closed,4.033707865168539,30.689254217950346,3.991813122247754e-17,0.9999999996891366
10,5,Eyes open,-23.48314606741573,34.97466574586302,2.993859841685815e-17,0.9999999997201566
11,1,Seizure activity (ictal),43.47752808988764,297.3865604712927,0.0,0.9999999999664141
12,3,Healthy brain area,-59.95505617977528,81.93576685529577,-3.991813122247754e-17,0.9999999999055964
13,4,Eyes closed,-11.48314606741573,68.691725023699,0.0,0.999999999864272
14,2,Tumor area,-24.94943820224719,33.94448085599866,1.247441600702423e-18,0.9999999996696605
15,3,Healthy brain area,-12.376404494382022,53.270234373601234,7.983626244495507e-17,0.9999999998376267
16,2,Tumor area,30.758426966292134,26.310442703960227,6.985672963933569e-17,0.9999999996087576
17,3,Healthy brain area,-1.595505617977528,35.10968978614283,0.0,0.9999999996975174
18,4,Eyes closed,6.932584269662922,34.78175866770079,-6.4866963236526e-17,0.999999999722121
19,2,Tumor area,-18.84269662921348,79.62473768343075,-1.995906561123877e-17,0.9999999998743664
20,1,Seizure activity (ictal),24.634831460674157,558.604447216177,1.995906561123877e-17,0.9999999999829912
21,2,Tumor area,-20.853932584269664,34.79540540565334,-5.98771968337163e-17,0.9999999997526169
22,1,Seizure activity (ictal),-67.46067415730337,139.0646164723496,-3.742324802107269e-17,0.9999999999342484
23,1,Seizure activity (ictal),10.314606741573034,137.32877760116276,-3.991813122247754e-17,0.999999999923551
24,1,Seizure activity (ictal),45.758426966292134,434.63256218831503,0.0,0.999999999980272
25,3,Healthy brain area,23.825842696629213,20.413919177854474,5.98771968337163e-17,0.999999999495866
26,5,Eyes open,-50.252808988764045,23.802042164711533,7.983626244495507e-17,0.9999999996310824
27,1,Seizure activity (ictal),-51.59550561797753,226.8407954858527,2.993859841685815e-17,0.9999999999562277
28,2,Tumor area,-16.59550561797753,63.3923433332739,-2.993859841685815e-17,0.9999999998345785
29,2,Tumor area,-15.691011235955056,38.67685235339305,0.0,0.9999999997642023
30,1,Seizure activity (ictal),-4.46067415730337,175.52092971519048,0.0,0.999999999943226
31,2,Tumor area,-46.20786516853933,27.2160838299341,-7.983626244495507e-17,0.9999999997071473
32,4,Eyes closed,2.747191011235955,37.96032994341531,-3.991813122247754e-17,0.9999999997317673
33,5,Eyes open,-12.887640449438202,44.379729708947785,-9.979532805619384e-18,0.9999999997673684
34,5,Eyes open,7.544943820224719,35.015096298840426,-9.979532805619384e-18,0.999999999702429
35,3,Healthy brain area,33.28089887640449,104.27642485823195,3.991813122247754e-17,0.9999999999073632
36,4,Eyes closed,14.230337078651685,40.12883438781371,0.0,0.9999999997681912
37,3,Healthy brain area,-4.387640449438202,42.023017556392595,7.983626244495507e-17,0.9999999998063873
38,5,Eyes open,7.033707865168539,41.954349036848,-4.802650162704329e-17,0.9999999997701525
39,3,Healthy brain area,0.1404494382022472,45.633585155891794,1.2786276407199837e-17,0.9999999997603877
